id,name,data_type,category,building,floor,room,longitude,latitude,coordinate_system,open_time,close_time,description,collector,updated_at,notes
poi_001,北教学区,poi,teaching,北教学区,,,120.07218,30.30791,WGS84,unknown,unknown,紫金港校区北部教学区,lsc,2026/6/10,
poi_002,银泉食堂,poi,canteen,银泉食堂,,,120.07085,30.3084,WGS84,unknown,unknown,北教学区附近食堂,lsc,2026/6/10,
poi_003,玉湖餐厅,poi,canteen,玉湖餐厅,,,120.06817,30.30226,WGS84,unknown,unknown,校园西侧餐厅临近玉湖,lsc,2026/6/10,
poi_004,尧坤楼,poi,teaching,尧坤楼,,,120.06826,30.3018,WGS84,unknown,unknown,行政办公及学生服务综合楼,lsc,2026/6/10,
poi_005,方闻图书馆,poi,library,方闻图书馆,,,120.0678,30.30026,WGS84,8:30,22:30,西区图书馆馆藏丰富,lsc,2026/6/10,
poi_006,艺博馆,poi,museum,艺博馆,,,120.06675,30.2999,WGS84,9:00,17:00,校园艺术与博物馆,lsc,2026/6/10,
poi_007,人文古籍图书馆,poi,library,人文古籍图书馆,,,120.07486,30.2996,WGS84,unknown,unknown,人文社科及古籍专业图书馆,lsc,2026/6/10,
poi_008,南大门,poi,service,南大门,,,120.07689,30.29848,WGS84,6:00,23:00,紫金港校区正南门主入口,lsc,2026/6/10,
poi_009,交叉中心食堂,poi,canteen,交叉中心食堂,,,120.08404,30.29772,WGS84,unknown,unknown,交叉研究中心附近食堂,lsc,2026/6/10,
poi_010,菜鸟驿站,poi,service,菜鸟驿站,,,120.08574,30.30053,WGS84,unknown,unknown,校园快递收发服务点,lsc,2026/6/10,
poi_011,东教学区,poi,teaching,东教学区,,,120.08558,30.30318,WGS84,unknown,unknown,东侧教学区,lsc,2026/6/10,
poi_012,羽毛球馆,poi,other,羽毛球馆,,,120.08475,30.30796,WGS84,unknown,unknown,室内羽毛球场,lsc,2026/6/10,
poi_013,风雨操场,poi,other,风雨操场,,,120.08559,30.30902,WGS84,unknown,unknown,室内综合体育场馆,lsc,2026/6/10,
poi_014,篮球馆,poi,other,篮球馆,,,120.08588,30.30956,WGS84,unknown,unknown,室内篮球场馆,lsc,2026/6/10,
poi_015,游泳馆,poi,other,游泳馆,,,120.08467,30.30925,WGS84,unknown,unknown,室内恒温游泳池,lsc,2026/6/10,
poi_016,白沙邮局,poi,service,白沙邮局,,,120.08145,30.31118,WGS84,unknown,unknown,校园邮政服务点,lsc,2026/6/10,
poi_017,东操场,poi,other,东操场,,,120.0785,30.30845,WGS84,unknown,unknown,东侧田径运动场,lsc,2026/6/10,
poi_018,西操场,poi,other,西操场,,,120.0776,30.30792,WGS84,unknown,unknown,西侧田径运动场,lsc,2026/6/10,
poi_019,东篮球场,poi,other,东篮球场,,,120.07861,30.30883,WGS84,unknown,unknown,东侧室外篮球场地,lsc,2026/6/10,
poi_020,安中球场,poi,other,安中球场,,,120.07834,30.30603,WGS84,unknown,unknown,安中大楼附近运动球场,lsc,2026/6/10,
poi_021,主图书馆,poi,library,主图书馆,,,120.07606,30.30473,WGS84,unknown,unknown,紫金港校区主图书馆,lsc,2026/6/10,
poi_022,求是大讲堂,poi,teaching,求是大讲堂,,,120.0748,30.30473,WGS84,unknown,unknown,大型讲座和学术活动场所,lsc,2026/6/10,
poi_023,党建馆,poi,museum,党建馆,,,120.0744,30.30437,WGS84,unknown,unknown,党建宣传教育展览馆,lsc,2026/6/10,
poi_024,西教学区,poi,teaching,西教学区,,,120.0806,30.30507,WGS84,unknown,unknown,西侧教学区,lsc,2026/6/10,
poi_025,南华园,poi,scenic,南华园,,,120.08126,30.30049,WGS84,unknown,unknown,校园南侧园林景观区,lsc,2026/6/10,
poi_026,大草坪,poi,scenic,大草坪,,,120.08185,30.30071,WGS84,unknown,unknown,校园中心大型草坪,lsc,2026/6/10,
poi_027,基础图书馆,poi,library,基础图书馆,,,120.08427,30.3073,WGS84,unknown,unknown,东区基础图书馆,lsc,2026/6/10,
poi_028,阳明桥,poi,scenic,启真湖（阳明桥）,,,120.08303,30.30703,WGS84,unknown,unknown,启真湖畔标志性景观桥,lsc,2026/6/10,
poi_029,月牙楼,poi,other,月牙楼,,,120.08175,30.30718,WGS84,unknown,unknown,月牙形校园地标建筑,lsc,2026/6/10,
poi_030,紫金港剧场,poi,other,紫金港剧场,,,120.08158,30.30648,WGS84,unknown,unknown,校园文艺演出活动场所,lsc,2026/6/10,
poi_031,校友林,poi,scenic,校友林,,,120.08123,30.30896,WGS84,unknown,unknown,校友捐赠纪念林区,lsc,2026/6/10,
poi_032,东区大食堂,poi,canteen,东区大食堂,,,120.08024,30.31095,WGS84,unknown,unknown,东区大型多层食堂,lsc,2026/6/10,
